variable,question,module,type,full,short,hce,default,coding
sid,Study ID number,general,sid,1,1,0,'',
gen_2_1,Language of interview,general,info,1,0,0,'',
gen_2_2,Interviewer name,general,info,1,0,0,'',
gen_2_2a,Interviewer ID number,general,numeric,1,0,0,0,
gen_2_4,Address of/directions to household,general,info,0,1,0,'',
gen_3_1,Did respondent give consent?,general,categorical,1,1,0,1,"0 ""No"" 1 ""Yes"""
gen_4_1,What is the respondent's name?,general,info,1,0,0,'',
gen_4_2,What is the sex of the respondent?,general,categorical,1,0,0,9,"1 ""Male"" 2 ""Female"" 8 ""Don't know"" 9 ""Refused to answer"""
gen_4_3,What is the respondent's respondent's relationship to the deceased?,general,categorical,1,0,0,,"1 ""Mother"" 2 ""Father"" 3 ""Grandmother"" 4 ""Grandfather"" 5 ""Aunt"" 6 ""Uncle"" 7 ""Husband"" 8 ""Wife"" 9 ""Brother"" 10 ""Sister"" 11 ""Birth attendant (specify type)"" 12 ""Other male (specify)"" 13 ""Other female (specify)"""
gen_4_3a,[What is the respondent's respondent's relationship to the deceased?] Birth attendant type (specify),general,text,1,0,0,'',
gen_4_3b,[What is the respondent's respondent's relationship to the deceased?] Other male (specify),general,text,1,0,0,'',
gen_4_3c,[What is the respondent's respondent's relationship to the deceased?] Other female (specify),general,text,1,0,0,'',
gen_4_4,How old is the respondent?,general,numeric,1,0,0,0,
gen_4_5,What was the last level of school the respondent attended?,general,categorical,1,0,0,9,"1 ""No education"" 2 ""Primary school"" 3 ""Secondary school"" 4 ""Post secondary"" 9 ""Unknown"""
gen_4_6,How many people live at this address?,general,numeric,1,0,0,0,
gen_4_7,How many rooms are in the household?,general,numeric,1,0,0,0,
gen_4_8,Does the household have a separate room for cooking?,general,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_4_9,Does the household have:,general,multiple,1,0,0,99,"1 ""Electricity"" 2 ""A radio"" 3 ""A television"" 4 ""A refrigerator"" 5 ""A fixed line telephone"" 6 ""A mobile telephone"" 7 ""A computer"" 8 ""A bicycle"" 9 ""A car or truck"" 10 ""Piped water outside the residence"" 11 ""Well (protected or unprotected)"" 12 ""Water vendor, water supplied by truck, or bottled water"" 13 ""Surface water"" 88 ""Refused to answer"" 99 ""Don't know"""
gen_4_10,What type of toilet do you have/use? ,general,multiple,1,0,0,9,"1 ""Flush toilet"" 2 ""Improved pit toilet"" 3 ""Traditional pit toilet"" 4 ""Bush/field/beach"" 5 ""Other (specify)"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_4_10a,What type of toilet do you have/use? [other specified],general,text,1,0,0,'',
gen_4_11,What is the main kind of energy you use for cooking?,general,multiple,1,0,0,9,"1 ""Charcoal"" 2 ""Firewood"" 3 ""Kerosene"" 4 ""Electricity"" 5 ""Gas"" 6 ""Cow dung"" 7 ""Other (specify)"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_4_11a,What is the main kind of energy you use for cooking? [other specified],general,text,1,0,0,'',
gen_4_12,What materials are used for the floor of the house?,general,multiple,1,0,0,9,"1 ""Natural/mud"" 2 ""Cement"" 3 ""Wood"" 4 ""Tiles"" 5 ""Other (specify)"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_4_12a,What materials are used for the floor of the house? [other specified],general,text,1,0,0,'',
gen_5_0,What was the name of the deceased?,general,text,1,1,0,'',
gen_5_1a,What year was the deceased born?,general,numeric,1,1,0,0,
gen_5_1b,What month was the deceased born?,general,numeric,1,1,0,0,
gen_5_1c,What day of the month was the deceased born?,general,numeric,1,1,0,0,
gen_5_2,What was the sex of the deceased?,general,categorical,1,1,0,8,"1 ""Male"" 2 ""Female"" 8 ""Don't know"" 9 ""Refused to answer"""
gen_5_3a,What year did the deceased die?,general,numeric,1,1,0,0,
gen_5_3b,What month did the deceased die?,general,numeric,1,1,0,0,
gen_5_3c,What day of the month did the deceased die?,general,numeric,1,1,0,0,
gen_5_4,What was the last known age of the deceased?,general,categorical,1,1,0,9,"1 ""Years"" 2 ""Months"" 4 ""Days"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_5_4a,[What was the last known age of the deceased?] Years - if one year or older,general,numeric,1,1,0,9999,
gen_5_4b,[What was the last known age of the deceased?] Months - if less than one year,general,numeric,1,1,0,99,
gen_5_4c,[What was the last known age of the deceased?] Days if less than one month,general,numeric,1,1,0,99,
gen_5_4d,What age group does the deceased's last known age fall into?,general,categorical,1,1,0,9,"1 ""Less than 28 days old"" 2 ""28 days - 11 years"" 3 ""Older than 12 years old"" 8 ""Refused to answer"" 9 ""Don't know"""
agedays,Age in days [calculated],general,numeric,1,1,0,0,
gen_5_5,Place of death,general,categorical,0,1,0,9,"1 ""Never Married"" 2 ""Married"" 3 ""Separated"" 4 ""Divorced"" 5 ""Widowed"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_5_2b,Place of death [other specified],general,text,0,1,0,'',
gen_5_5,What was the marital status of deceased?,general,categorical,1,0,0,9,"1 ""Never Married"" 2 ""Married"" 3 ""Separated"" 4 ""Divorced"" 5 ""Widowed"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_5_6,What was the last known level of education of deceased?,general,categorical,1,0,0,9,"1 ""No education"" 2 ""Primary school"" 3 ""Secondary school"" 4 ""Post secondary"" 9 ""Unknown"""
gen_5_7,Are there other people present during the interview?,general,categorical,1,0,0,9,"0 ""No"" 1 ""Yes"" 8 ""Refused to answer"" 9 ""Don't know"""
gen_5_8,How many people are present during the interview?,general,numeric,1,0,0,0,
gen_5_9,What is the relationship of others present to the deceased?,general,multiple,1,0,0,,"1 ""Mother"" 2 ""Father"" 3 ""Grandmother"" 4 ""Grandfather"" 5 ""Aunt"" 6 ""Uncle"" 7 ""Husband"" 8 ""Wife"" 9 ""Brother"" 10 ""Sister"" 11 ""Birth attendant (specify type)"" 12 ""Other male (specify)"" 13 ""Other female (specify)"""
gen_5_9a,[What is the relationship of others present to the deceased?] Other male (specify),general,text,1,0,0,'',
gen_5_9b,[What is the relationship of others present to the deceased?] Other female (specify),general,text,1,0,0,'',
gen_5_91,Mother present during illness,general,categorical,1,0,0,9,"0 ""Not present during illness"" 1 ""Present during illness"" 9 ""Don't know"""
gen_5_92,Mother present at death,general,categorical,1,0,0,9,"0 ""Not present at death"" 1 ""Present at death"" 9 ""Don't Know"""
gen_5_93,Father present during illness,general,categorical,1,0,0,9,"0 ""Not present during illness"" 1 ""Present during illness"" 9 ""Don't know"""
gen_5_94,Father present at death,general,categorical,1,0,0,9,"0 ""Not present at death"" 1 ""Present at death"" 9 ""Don't Know"""
